name,slug,description,sku,price,trackInventory,stockOnHand,enabled,customFields:analogInputs,customFields:brand,customFields:category,customFields:commercialStatus,customFields:communication,customFields:digitalInputs,customFields:digitalOutputs,customFields:productType,customFields:programmingLanguage,customFields:statusCode,customFields:voltage
"Modicon M200 16I/O, 24V C.C, 9 intrari, 7 iesiri Tr. NPN",modicon-m200-16i-o-24v-c-c-9-intrari-7-iesiri-tr-npn,"Modicon M200 16I/O, 24V C.C, 9 intrari, 7 iesiri Tr. NPN - Schneider Electric",TM200C16U,661.63,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+USB,16,7,TM200,Ladder,others,230V
"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. PNP",modicon-m200-24i-o-c-c-24v-14-intrari-10-iesiri-tr-pnp,"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. PNP - Schneider Electric",TM200C24T,742.14,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+USB,24,10,TM200,Ladder,others,230V
"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. NPN",modicon-m200-24i-o-c-c-24v-14-intrari-10-iesiri-tr-npn,"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. NPN - Schneider Electric",TM200C24U,742.14,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+USB,24,10,TM200,Ladder,others,230V
"Modicon M200 16I/O,C.A.220V, 9 intrari, 7 iesiri",modicon-m200-16i-o-c-a-220v-9-intrari-7-iesiri,"Modicon M200 16I/O,C.A.220V, 9 intrari, 7 iesiri - Schneider Electric",TM200C16R,661.63,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+USB,16,7,TM200,Ladder,others,230V
"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. PNP, 1 Eth",modicon-m200-24i-o-c-c-24v-14-intrari-10-iesiri-tr-pnp-1-eth,"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. PNP, 1 Eth - Schneider Electric",TM200CE24T,824.64,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+Ethernet+USB,24,10,TM200,Ladder,others,230V
"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. NPN, 1 Eth",modicon-m200-24i-o-c-c-24v-14-intrari-10-iesiri-tr-npn-1-eth,"Modicon M200 24I/O, C.C.24V, 14 intrari, 10 iesiri Tr. NPN, 1 Eth - Schneider Electric",TM200CE24U,824.64,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+Ethernet+USB,24,10,TM200,Ladder,others,230V
"Modicon M200 40I/O,C.C.24V, 24 intrari, 16 iesiri Tr. NPN",modicon-m200-40i-o-c-c-24v-24-intrari-16-iesiri-tr-npn,"Modicon M200 40I/O,C.C.24V, 24 intrari, 16 iesiri Tr. NPN - Schneider Electric",TM200C40U,989.54,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+USB,40,16,TM200,Ladder,others,230V
"Modicon M200 60I/O,C.A.220V, 36 intrari, 24 iesiri",modicon-m200-60i-o-c-a-220v-36-intrari-24-iesiri,"Modicon M200 60I/O,C.A.220V, 36 intrari, 24 iesiri - Schneider Electric",TM200C60R,1171.68,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+USB,60,24,TM200,Ladder,others,230V
"Modicon M200 24I/O, C.A.220V, 14 intrari, 10 iesiri , 1 Eth",modicon-m200-24i-o-c-a-220v-14-intrari-10-iesiri-1-eth,"Modicon M200 24I/O, C.A.220V, 14 intrari, 10 iesiri , 1 Eth - Schneider Electric",TM200CE24R,766.92,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+Ethernet+USB,24,10,TM200,Ladder,others,230V
"Modicon M200 32I/O, C.A.220V, 18 intrari, 14 iesiri",modicon-m200-32i-o-c-a-220v-18-intrari-14-iesiri,"Modicon M200 32I/O, C.A.220V, 18 intrari, 14 iesiri - Schneider Electric",TM200C32R,1083.48,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+USB,32,14,TM200,Ladder,others,230V
"Modicon M200 40I/O,C.A.220V, 24 intrari, 16 iesiri",modicon-m200-40i-o-c-a-220v-24-intrari-16-iesiri,"Modicon M200 40I/O,C.A.220V, 24 intrari, 16 iesiri - Schneider Electric",TM200C40R,989.54,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+USB,40,16,TM200,Ladder,others,230V
"Modicon M200 40I/O,C.C.24V, 24 intrari, 16 iesiri Tr. PNP",modicon-m200-40i-o-c-c-24v-24-intrari-16-iesiri-tr-pnp,"Modicon M200 40I/O,C.C.24V, 24 intrari, 16 iesiri Tr. PNP - Schneider Electric",TM200C40T,989.54,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+USB,40,16,TM200,Ladder,others,230V
"Modicon M200 32I/O,C.A.220V, 18 intrari, 14 iesiri , 1 Eth",modicon-m200-32i-o-c-a-220v-18-intrari-14-iesiri-1-eth,"Modicon M200 32I/O,C.A.220V, 18 intrari, 14 iesiri , 1 Eth - Schneider Electric",TM200CE32R,1314.18,TRUE,100,TRUE,0,schneider,plc,Comercializat,Modbus+Ethernet+USB,32,14,TM200,Ladder,others,230V
